"Time, s","Fuerza mover (1st):Global Rectangular [angulo_45]","Fuerza mover (1st):Global Rectangular [angulo_0]","Fuerza mover (1st):Global Rectangular [angulo_15]","Fuerza mover (1st):Global Rectangular [angulo_30]","Fuerza mover (1st):Global Rectangular [angulo_45]","Fuerza mover (1st):Global Rectangular [angulo_60]","Fuerza mover (1st):Global Rectangular [angulo_75]","Fuerza mover (1st):Global Rectangular [angulo_90]","Fuerza mover (1st):Global Rectangular [angulo_105]","Fuerza mover (1st):Global Rectangular [angulo_120]","Fuerza mover (1st):Global Rectangular [angulo_135]","Fuerza mover (1st):Global Rectangular [angulo_150]","Fuerza mover (1st):Global Rectangular [angulo_165]","Fuerza mover (1st):Global Rectangular [angulo_180]","Fuerza mover (1st):Global Rectangular [angulo_195]","Fuerza mover (1st):Global Rectangular [angulo_210]","Fuerza mover (1st):Global Rectangular [angulo_225]","Fuerza mover (1st):Global Rectangular [angulo_240]","Fuerza mover (1st):Global Rectangular [angulo_255]","Fuerza mover (1st):Global Rectangular [angulo_270]","Fuerza mover (1st):Global Rectangular [angulo_285]","Fuerza mover (1st):Global Rectangular [angulo_300]","Fuerza mover (1st):Global Rectangular [angulo_315]","Fuerza mover (1st):Global Rectangular [angulo_330]","Fuerza mover (1st):Global Rectangular [angulo_345]","Fuerza mover (1st):Global Rectangular [angulo_360]"
"0","268.169380681","168.387545363","232.671994699","270.139695435","268.169380681","228.825207963","171.588220846","111.736916604","61.108185482","26.1904277335","6.99412822927","-2.02724380212","-10.0768757022","-26.6903440854","-58.25045818","-105.85478651","-164.127344193","-221.944114476","-263.085234952","-267.33767032","-235.690004048","-177.252606697","-97.8975981114","-6.93913175833","85.1780861741","168.387545362"
"0.00101052631579","251.475957823","117.258527803","188.478679762","235.172900377","251.475957837","232.973618044","188.11088176","131.32469588","76.7874209696","34.7769314653","9.13007668635","-2.73649982064","-8.89257271687","-19.9197732822","-45.1158205832","-89.3673101684","-151.017534371","-221.302234366","-284.093068563","-308.610955007","-286.025845862","-232.950668126","-156.285449127","-65.2887983529","29.2562065463","117.258527815"
"0.00202105263158","231.054277118","54.1260257726","134.531279176","192.893307228","231.054277871","237.006559664","206.725495897","153.552215031","94.3150815641","43.6830711179","10.0246398651","-5.78060627066","-10.3837371034","-15.4889803741","-33.7051231247","-74.2999169085","-139.894094145","-224.505653395","-312.654158111","-363.94220184","-354.486905931","-307.403785746","-232.756477373","-140.052350043","-40.9130525143","54.1260270129"
"0.00303157894737","218.40057973","-7.1257813197","83.8590136301","156.356892271","218.400582698","247.840887922","230.60723378","179.613123155","114.283007249","53.5858798605","10.5610438069","-10.4266201361","-14.3945303925","-13.9447460654","-24.7980467496","-60.5017559263","-127.940752661","-224.0857813","-334.659386192","-415.767176089","-425.708146425","-385.186821283","-311.975416309","-216.283969639","-110.838276365","-7.12579343027"
"0.00404210526316","227.043019913","-51.4254024606","51.6951564127","142.77326246","227.043019787","273.342233781","263.258488829","210.722520075","137.524398494","66.1853217126","13.6455302009","-12.9866793802","-17.3876009405","-12.8493419049","-17.5420955739","-48.3931625306","-115.637244361","-218.630600897","-344.046003869","-452.418459608","-487.71494118","-453.784909712","-380.681492043","-280.002674508","-165.826174047","-51.4253589853"
"0.00505263157895","256.723329419","-81.6022640991","36.0958741708","151.069665893","256.723334089","314.710644565","306.45831511","248.432036826","165.050168811","81.9863763795","19.5277176398","-13.0808083636","-18.5947746004","-11.0078222827","-10.5854814294","-37.0390990007","-103.192838528","-210.237829965","-345.310075126","-476.32167116","-542.202962563","-516.848387601","-442.826055989","-334.528383646","-208.861790427","-81.6022692242"
"0.00606315789474","307.444420334","-95.6933179022","40.2646364451","182.519946178","307.444421257","373.951453633","363.292488701","295.225285418","198.357479546","101.528034429","28.0181863815","-11.108661566","-18.2181621179","-8.16031785654","-3.20885248223","-25.550882394","-90.0738331298","-199.315387831","-340.429302359","-485.659930154","-575.706447099","-571.989961536","-495.525414613","-377.873602706","-238.06829021","-95.6933200033"
"0.00707368421053","379.166475028","-74.0352684873","85.6103392353","244.286044084","379.166475114","447.323032858","431.773045554","349.460065511","236.850632126","125.637641708","40.9406723768","-5.02909288249","-14.7795751286","-3.84532943211","4.23212863943","-14.1476362239","-74.8679407956","-181.001757857","-319.639053315","-464.198937655","-568.293779246","-586.472064754","-511.31869571","-383.16144284","-230.061062114","-74.0352686259"
"0.00808421052632","462.418175127","5.45088270139","169.492984663","326.508458904","462.418089256","529.095373429","508.585643368","410.357738414","280.226942467","154.479042112","58.8041383639","5.64839991893","-8.07248147124","1.70141463606","11.1790773381","-3.29737610589","-57.3377162593","-153.615443454","-279.227617333","-408.234333289","-505.3886005","-524.826378946","-458.180182814","-322.743393579","-161.236612496","5.45088269829"
"0.00909473684211","505.824376451","80.447486504","230.533510894","379.404045589","505.82437643","581.661523479","564.688896758","463.330665235","319.614362723","182.243972502","77.4286835988","17.6012591637","-0.613155996011","6.82814200779","16.5182027532","5.33738051566","-41.7369434056","-126.783362007","-237.282664978","-348.113374074","-428.000892692","-441.957684827","-371.512758964","-236.765730381","-77.2231348916","80.447486819"
"0.0101052631579","481.179457774","93.1297463998","229.274158167","365.427341858","481.179457747","556.305792207","563.865894763","478.788151593","337.564602843","199.731784422","92.9137341737","29.4754808649","6.78416354221","10.2237256264","18.1874368741","9.12792402488","-31.1469693801","-104.639007015","-200.238289585","-294.997352181","-360.702349532","-369.703325593","-302.695757232","-178.803637788","-38.6576575165","93.1297479979"
"0.0111157894737","425.860490898","74.5873105343","196.395442069","319.293047371","425.860492393","499.016576666","525.286797149","466.21969235","341.330286881","210.545911259","106.425048819","41.3681104125","14.2195542485","12.6184296404","17.6255483825","9.84334996312","-24.0114790396","-86.3713495638","-168.134814117","-249.463706769","-305.471699895","-312.46968472","-254.394422098","-150.18829816","-36.7738706238","74.5873118251"
"0.0121263157895","362.521692339","41.4661350208","151.224180049","263.118017188","362.521692714","434.887749157","469.481109398","440.265590777","339.108971009","219.110268117","119.728207383","53.785795165","22.0542604005","14.9126222729","16.3777161474","9.29437344728","-18.8472667536","-71.3951436911","-141.484379345","-212.767942595","-263.64227149","-273.109679244","-227.044613115","-144.098395806","-55.8002020237","41.4661437448"
"0.0131368421053","292.893949572","-4.94061356729","94.549380538","198.265865396","292.893969745","366.002144681","407.529423823","402.645192861","328.933489851","224.946041278","133.149597988","67.2541659664","30.4941333842","16.761911422","13.6303123491","6.55487192969","-16.19610151","-59.308534005","-118.753139522","-182.238349013","-231.856067894","-249.097489536","-220.347929726","-159.475751","-90.52040992","-4.9405965526"
"0.0141473684211","211.921216865","-68.7080143364","22.3307583558","119.804753748","211.921216629","287.002477495","335.815448875","349.676568205","305.643018838","225.255634649","145.890554697","82.2375611936","40.5159676981","19.0372713594","9.82691692477","1.63733884324","-16.235776002","-50.0719696447","-99.3882735613","-156.717968861","-208.60316549","-239.292310764","-234.496007182","-197.535099633","-143.669921992","-68.7080157163"
"0.0151578947368","136.481619205","-131.390281138","-47.3366162343","45.6815899839","136.481619784","214.128451111","269.481453852","296.001599705","277.851570104","222.658797133","157.75534187","98.1522685534","52.7628151685","24.1573602097","8.73372251252","-1.39660127868","-15.723998913","-41.854251181","-82.6488877241","-135.184890154","-190.358845226","-235.160394852","-254.442516672","-239.241375193","-197.253910408","-131.390280991"
"0.0161684210526","78.7261490126","-183.267265571","-103.68488941","-12.7260072514","78.7261488516","159.7727946","221.227400559","256.855069505","258.488134068","224.633464869","172.12405777","115.772978646","66.8490713641","31.6818027714","10.4736587046","-1.7345282498","-13.3597348487","-33.1345829141","-66.863242213","-115.481953394","-173.680908753","-230.818526389","-271.374770018","-275.102892076","-242.433247154","-183.267264982"
"0.0171789473684","21.5362379351","-240.779615061","-163.99761988","-72.8708948678","21.5362378659","107.927439725","176.765719833","222.010782215","242.444299718","229.72940632","189.507056149","135.988601302","82.8872406844","40.4335852222","12.7494680614","-2.15150332222","-11.5836683221","-25.4212462751","-52.4884887917","-97.6076540042","-159.287323719","-229.251603184","-292.10333747","-317.080313161","-294.112019046","-240.779615042"
"0.0181894736842","-50.6094257706","-317.408703858","-242.918549317","-150.067653626","-50.6094251547","43.3758675732","121.840774576","179.411619653","222.729446481","234.719772505","208.969135987","158.794802243","100.67381458","49.3123183807","13.5106254713","-5.24546698776","-12.8523735102","-20.3784874511","-40.0624040669","-81.2052638897","-146.712831775","-231.128508306","-319.743641012","-372.595852374","-364.101347041","-317.408703804"
"0.0192","-118.9037244","-394.250790174","-321.226025629","-225.211158216","-118.903724281","-16.0234091794","73.3802187202","146.647934449","213.626980804","247.977551576","234.230452409","185.481083995","120.853797077","59.3029493842","14.241298345","-9.47925195573","-16.2126312654","-17.977374912","-30.1195300944","-66.1554664406","-133.193522758","-228.638521119","-338.904553312","-421.610902855","-433.81173034","-394.250787438"
"0.0202105263158","-172.688333753","-462.599255247","-389.712414476","-288.153130966","-172.688347268","-58.7292602162","42.9569501676","136.835581201","225.706606868","275.728038995","268.054675837","216.973346365","144.079323134","71.8414282519","17.4887713701","-11.5318401332","-18.3866959944","-15.87453331","-21.8148863734","-53.0405232064","-119.917000351","-222.082458186","-346.732246621","-456.397365471","-495.042904431","-462.599255251"
"0.0212210526316","-213.360665065","-524.352218011","-450.599580633","-340.556731358","-213.360670474","-86.8696108269","29.4510758299","149.130199305","258.774757908","319.454364487","312.59243009","255.183531109","171.665088311","87.6324090626","23.5551530955","-11.0999690679","-18.7757605812","-13.0598169536","-13.8900009005","-40.8081159659","-106.677704807","-212.799258899","-346.670331461","-477.910315391","-546.878721862","-524.352219013"
"0.0222315789474","-239.20482506","-575.848509502","-499.393005398","-379.951396368","-239.204825159","-98.3926640701","38.4239351449","184.646602892","312.060860338","380.460841118","370.640955158","302.465555817","205.105059641","107.313208931","32.3514540588","-8.56467281321","-17.6572439819","-9.43567766912","-5.82515129835","-28.7356291307","-92.9596142653","-200.998329498","-340.238824999","-483.823573284","-575.159391692","-575.848509783"
"0.0232421052632","-223.378603586","-579.254720988","-505.583878034","-375.563065701","-223.37860329","-70.1117609108","91.5066876542","251.450020977","385.88346965","454.767911529","440.119832493","357.190200185","243.902431946","131.888866752","45.9953954133","-1.56476256001","-13.2769923378","-4.34284094756","2.18417009786","-16.808577383","-76.8726040806","-180.900926722","-316.155953001","-456.669866133","-559.232945272","-579.254721217"
"0.0242526315789","-133.19912332","-499.291111749","-431.18044146","-292.336333933","-133.199130801","31.3080543976","190.749147026","346.84793509","478.680720816","545.504470151","524.432347846","424.15147461","291.650735363","164.236030441","67.1597094856","12.5453432434","-2.9349942242","4.87747946758","12.6567823062","-2.61254451611","-55.9114958293","-149.438743451","-270.175587044","-392.598508426","-483.07523763","-499.291127233"
"0.0252631578947","-59.3853451136","-419.001167573","-347.901596197","-213.868123931","-59.3854204956","89.3707767397","237.990271772","384.053261639","506.154913264","581.490331641","568.72194187","469.791462527","326.596975142","189.698033351","84.9205904821","24.3521581614","4.59883842038","10.0167351461","17.8615848023","5.77780319296","-40.6156612523","-123.069736762","-229.132240931","-334.275646165","-408.300379545","-419.001169414"
"0.0262736842105","-32.8982391894","-350.226791455","-284.12382006","-164.627718007","-32.8982391906","93.4376550365","227.465103152","359.504426382","471.153801461","545.054151335","557.694041777","477.498351129","340.034333072","204.83922189","99.5566651653","36.1776285526","12.2234957404","13.5911378414","19.5351894539","9.41284736746","-30.2933189473","-101.349025337","-192.892961376","-282.750697452","-343.820617207","-350.22678973"
"0.0272842105263","-35.7484501783","-296.959410002","-240.055560103","-140.710409202","-35.7484523986","74.3143231374","194.036678534","312.83021879","415.391445498","487.59364533","516.382440892","463.444729695","343.418597521","215.475982183","113.031158389","48.1940090362","19.9761038941","16.5101000658","19.6225463125","10.7261505978","-22.8657141551","-83.3984363012","-162.000038588","-239.509712037","-291.986127833","-296.959411497"
"0.0282947368421","-57.1254983051","-261.468098103","-217.705025064","-139.956069646","-57.125497753","39.3097095332","147.023745693","255.200967904","351.230493739","422.622916925","459.14747241","435.355236774","339.855455377","223.426973319","126.13679391","60.646680968","27.9351458824","18.9754787489","18.5546922252","10.3137137421","-17.7146636875","-68.759835751","-136.25632075","-204.553887661","-252.954633114","-261.468099392"
"0.0293052631579","-95.0460377395","-240.719900136","-216.082446359","-161.097915727","-95.046037755","-10.19247533","87.4666161706","187.818186039","279.672195786","351.973332863","395.223603761","394.875050975","327.657529789","228.659038922","139.716071068","74.5303874894","36.6896603548","20.8895705614","15.6397364085","7.28989281449","-15.3544453534","-56.9605380823","-113.973268193","-174.967622948","-223.061106865","-240.719900309"
"0.0303157894737","-150.197198844","-233.419184317","-233.73750955","-202.884409366","-150.197199026","-75.863462436","13.3183918515","107.819921574","197.439730876","271.849450698","322.091466887","339.488675858","302.101460607","227.910169418","152.255850616","89.8248251819","47.2262784494","23.6638922182","12.1940373273","2.53990071186","-15.4262377924","-47.971922547","-95.1519154023","-150.432009399","-201.444922","-233.419184069"
"0.0313263157895","-199.784073376","-229.235879128","-252.384186431","-241.719558689","-199.784094566","-134.050118882","-51.395159664","39.1693397684","127.935251246","204.915448596","261.163691647","289.967830528","276.786738885","226.519899033","164.506857095","105.80338435","59.6160626596","29.2250041967","11.8383915102","0.354695429526","-14.2237950864","-39.4510433195","-78.586755261","-129.416467002","-183.703229954","-229.235880394"
"0.0323368421053","-244.33664329","-225.75419959","-269.567877894","-277.26001113","-244.336643814","-185.155517876","-106.690456236","-17.6925283389","72.1652930406","152.81772405","215.08284368","252.693714174","258.753883821","229.445086413","179.470855044","123.768178584","73.8969406762","36.8670044012","13.6410816427","-0.0140349030194","-12.0496978102","-31.1424751786","-63.4596459651","-110.581543995","-167.987461877","-225.754200631"
"0.0333473684211","-300.294650998","-226.468486879","-293.19126593","-323.037871263","-300.294650821","-247.09999116","-171.383293997","-81.9322151535","11.2199215499","97.55273994","167.463337414","215.108072326","240.947286638","233.813753008","196.798711052","144.219089788","90.1524693952","45.6022422167","15.6167977987","-0.991172592879","-11.0128970309","-24.2798712036","-50.0515093156","-93.8991470089","-155.20914376","-226.468486085"
"0.0343578947368","-372.582860488","-229.059731921","-321.44783682","-379.880196447","-372.582843792","-326.070571669","-252.486681684","-161.064362232","-62.5928404299","31.4456879676","110.992549281","171.643411563","220.955102253","238.923375199","216.58453472","167.345910787","108.086686263","54.325034832","15.9068591438","-4.82892617049","-13.1964602452","-20.2010957404","-38.5373092694","-78.3118929519","-143.365369077","-229.059731615"
"0.0353684210526","-439.300693377","-225.816910296","-337.920847233","-424.926924758","-439.300693722","-399.4763411","-326.995267762","-231.880549508","-126.192372045","-23.0556762642","67.3736587395","144.505930245","216.521340371","255.116326072","243.409414183","194.781436004","128.691778771","64.704024858","17.0721490305","-8.68984071955","-16.4369458964","-18.0723972248","-29.228009236","-63.9929533341","-130.168883929","-225.816907259"
"0.0363789473684","-499.191476577","-219.098965752","-344.500624995","-457.332697068","-499.191478088","-466.426524397","-393.394329505","-292.29346938","-176.852483972","-62.5057921556","40.4227712514","139.366949867","232.723609907","285.748196312","279.056600028","227.370152702","152.659231859","77.8889448141","20.9956571946","-10.0655026119","-18.0726268783","-15.7131449674","-21.0060653282","-51.207371599","-117.191101912","-219.098964972"
"0.0373894736842","-548.972355565","-209.755632902","-343.966963193","-477.242248025","-548.972355591","-527.484607466","-452.858765394","-342.702481731","-215.014084809","-87.4799887683","30.7591840518","156.445484465","270.235950448","333.372930974","326.660983005","267.697041423","181.584097119","94.4802359986","27.5183340052","-9.33042339301","-18.2404793753","-12.7449909266","-13.0124434828","-38.9983451042","-104.004354602","-209.755633461"
"0.0384","-572.833381546","-197.34703093","-336.008115405","-479.658246507","-572.833384793","-575.305580979","-498.248532011","-377.779342574","-236.165094597","-94.3675760757","47.398861679","196.927235449","327.117066705","397.331041225","387.288294133","316.747978734","216.208793101","115.015483165","36.9539173299","-6.29656302664","-16.7770285769","-8.96362020013","-4.96141480724","-27.0016569045","-90.1905100472","-197.34702861"
"0.0394105263158","-543.373076303","-174.472519196","-306.315763621","-443.005718214","-543.373074573","-561.140232276","-487.789332963","-357.183875578","-204.455380596","-50.0516054976","113.76700304","273.040247852","406.705279539","475.2280583","459.727061377","373.379655371","256.328810741","140.830702929","51.8903707034","1.95140424953","-11.4292012971","-3.36563527232","3.16528141841","-14.9179841923","-73.1442455732","-174.47252388"
